"asistente","codigoAudiencia"
"Teniente Coronel Sr. Oscar Figueroa Ulloa","ad00922391"
"Capitán (J) Vittorio Perazzo Donnes","ad00922391"
"Jorge Encina Risopatrón","ad00922391"
"José Miguel Abarca Latorre","ad00922731"
"Teniente (J) Sr. Alberto Cuéllar Castro","ad00922731"
"Pablo Álvarez Lisboa","ad00922991"
"Coronel Mauricio Antonio Poblete Peña","ad00922991"
"Mayor José Luis Riffo Sáez","ad00922991"
"Capitán Joel Arnoldo Ríos Cartes","ad00922991"
"Isabel Margarita Rosario Espinosa Azócar","ad00923241"
"Mayor (S) Sra. María Isabel Villena Espinoza","ad00923241"
"Jacqueline Alejandra Contreras Klickmann","ad00923241"
"Cristian Felipe Montalva Cautin","ad00920731"
"Mayor Sr. Diego Salas Villarroel","ad00920731"
"Sergio Vásquez González","ad00921021"
"Mayor Sr. Enrique Villarroel Valencia","ad00921021"
"Esdtanislao Vieyra","ad00921121"
"Coronel Sr. Ramiro Rosales Chacón","ad00921121"
"Coronel Sr. Mauricio Poblete Peña","ad00921121"
"Coronel Sr. Enrique Corvalán Jaime","ad00921121"
"Capitán Srta. Raquel Gómez Álvarez","ad00921121"
"Teniente V Sr. Luis Iturriaga Cavieres","ad00921121"
"Teniente Srta. Ximena Revolledo Uribe","ad00921121"
"Oscar Adofacci Prado","ad00921221"
"Coronel Sr. Walter Spreng Quinteros","ad00921221"
"Teniente Srta.  Ninoska Paulina Acuña Maldonado","ad00921221"
"C.P.R. (Grado 11°) Ignacio Tan Rivera","ad00921221"
"Rodrigo Enrique Faundez Ortiz","ad00921351"
"Oscar Eduardo Pradenas Gutíerrez","ad00921661"
"Luis Rodrigo España Gómez","ad00921661"
"Freddy Luis Watt Lermanda","ad00923601"
"Teniente Ninoska Paulina Acuña Maldonado","ad00923601"
"Carlos Acevedo Madrid","ab0421792711"
"Victor Antonio Muñoz Sagredo","ab0421792711"
"Jorge Zuñiga Pinto","ab0421792711"
"Giovanni Donati Sanhueza","ad00921171"
"María Pía Schanzer Ponarolli","ad00921171"
"Mayor Sr. José Riffo Sáez","ad00921171"
"Mario Joshua Corvalan Zuñiga","ad00921241"
"Mayor Sr. Diego Salas Villarroel","ad00921241"
"Cristian Ormazabal Acevedo","ad00921291"
"11948093-0","ad00921291"
"Mayor Diego Salas Villarroel","ad00921841"
"Cristian Javier Larenas Orueta","ad00922351"
"Teniente Ninoska Paulina Acuña Maldonado","ad00922351"
"Alejandro Vera Quilodrán","ad00922621"
"Teniente Coronel Pablo Silva Chamorro","ad00922621"
"Teniente  (J) Coronel Christian Retamal Contreras","ad00923221"
"Teniente Esteban Yevenes Riffo","ad00923221"
"Luis Alvarado","ab0761589591"
"liliana relos pacha","ab0761699791"
"Luis Perez Reyes","ab0761699791"
"LUIS BERNARDO GARRIDO AMPUERO","ab0772126171"
"PABLO ANDRES IRIARTE RAMIREZ","ab0772126171"
"Rody Elvis Hernandez Saldivia","ab0891555461"
"Raul Aguirre Cardenas","ad0231511551"
"Jean Paul Koopmans","ae0011610771"
"Jeroen Touw","ae0011610771"
"KARL HEINZ ECHAIZ DORNER","ad0131697991"
"Francisco Hernán Díaz Contreras","ad0131907011"
"Marcela Andrea Baeza Estrada","ad0201697751"
"Myriam del Carmen Vivanco Salazar","ab0541823751"
"Yokonda Montero Perez","ab0761588531"
"Lorena Trujillo","ab0921587811"
"Maurice Khamis","ac0011574121"
"Anuar Majluf","ac0011574121"
"Alexis Sfeir","ac0011574121"
"Ricardo lagos Weber","ad0221567171"
