"codigoActivo","activo","uriEmpLobby","codigoEmpLobby","empresaLobby","codigoAudiencia","codigoRepresentado","representado","giroRepresentado"
"25c4c4e134e6a2a786f3127dacb4caac","Raúl Morales Lártiga","http://datos.infolobby.cl/infolobby/entidad/cbe550e5ff7ca793713ef3c82a7d72c1","cbe550e5ff7ca793713ef3c82a7d72c1","S/I                             ","nr006ar6421",,,
"43e4474b2e14b5b22e9d7c3b45e70b4c","Cristián Laborda","http://datos.infolobby.cl/infolobby/entidad/cbe550e5ff7ca793713ef3c82a7d72c1","cbe550e5ff7ca793713ef3c82a7d72c1","S/I                             ","nr006ar7191",,,
"4f9e4629cff8c5dd2f3c7220df35ff46","HugoPatricio AhumadaCallejas","http://datos.infolobby.cl/infolobby/entidad/cbe550e5ff7ca793713ef3c82a7d72c1","cbe550e5ff7ca793713ef3c82a7d72c1","S/I                             ","nr006ar6721",,,
"66e4dc8860124d50d73fe386b6e9d374","elizabeth salinas","http://datos.infolobby.cl/infolobby/entidad/cbe550e5ff7ca793713ef3c82a7d72c1","cbe550e5ff7ca793713ef3c82a7d72c1","S/I                             ","nr006ar6011",,,
"66e4dc8860124d50d73fe386b6e9d374","elizabeth salinas","http://datos.infolobby.cl/infolobby/entidad/cbe550e5ff7ca793713ef3c82a7d72c1","cbe550e5ff7ca793713ef3c82a7d72c1","S/I                             ","nr006ar6011",,,
"6ad0facf26b131d8627b18536f954dad","Pedro Rodriguez","http://datos.infolobby.cl/infolobby/entidad/cbe550e5ff7ca793713ef3c82a7d72c1","cbe550e5ff7ca793713ef3c82a7d72c1","S/I                             ","nr006ar6421",,,
"8b873093dc090169ef1c9829d0c59825","Juan Somavia","http://datos.infolobby.cl/infolobby/entidad/cbe550e5ff7ca793713ef3c82a7d72c1","cbe550e5ff7ca793713ef3c82a7d72c1","S/I                             ","nr006ar7851",,,
"b77c1c7f58ff298462d9cf675063c060","Felipe del Solar Agüero","http://datos.infolobby.cl/infolobby/entidad/cbe550e5ff7ca793713ef3c82a7d72c1","cbe550e5ff7ca793713ef3c82a7d72c1","S/I                             ","nr006ar6031",,,
"b93eed3e57e510c726f705a3b8907cea","MaríaFrancisca ValenzuelaTapia","http://datos.infolobby.cl/infolobby/entidad/cbe550e5ff7ca793713ef3c82a7d72c1","cbe550e5ff7ca793713ef3c82a7d72c1","S/I                             ","nr006ar6591",,,
"b93eed3e57e510c726f705a3b8907cea","MaríaFrancisca ValenzuelaTapia","http://datos.infolobby.cl/infolobby/entidad/cbe550e5ff7ca793713ef3c82a7d72c1","cbe550e5ff7ca793713ef3c82a7d72c1","S/I                             ","nr006ar6901",,,
"b93eed3e57e510c726f705a3b8907cea","MaríaFrancisca ValenzuelaTapia","http://datos.infolobby.cl/infolobby/entidad/cbe550e5ff7ca793713ef3c82a7d72c1","cbe550e5ff7ca793713ef3c82a7d72c1","S/I                             ","nr006ar7581",,,
"c4dd4769cae3bca83cd873a9ee4d5022","CECILIA RODRIGUEZ","http://datos.infolobby.cl/infolobby/entidad/cbe550e5ff7ca793713ef3c82a7d72c1","cbe550e5ff7ca793713ef3c82a7d72c1","S/I                             ","nr006ar6481",,,
"dd23d64d0beb225b7825ab93ea08affd","Ruben Berrios","http://datos.infolobby.cl/infolobby/entidad/cbe550e5ff7ca793713ef3c82a7d72c1","cbe550e5ff7ca793713ef3c82a7d72c1","S/I                             ","nr006ar6581",,,
"e59619b87f44ba40099153b01c17e3f5","ERNESTO TIRONI BARRIOS","http://datos.infolobby.cl/infolobby/entidad/cbe550e5ff7ca793713ef3c82a7d72c1","cbe550e5ff7ca793713ef3c82a7d72c1","S/I                             ","nr006ar8331",,,
"fe17bfbca19d84cd7583aa79808f9d93","joel zuñiga","http://datos.infolobby.cl/infolobby/entidad/cbe550e5ff7ca793713ef3c82a7d72c1","cbe550e5ff7ca793713ef3c82a7d72c1","S/I                             ","nr006ar6581",,,
"035c6a38dd80166709d1ea2628cee205","José Miguel Ossandón",,,,"am001211821","228b7492436f9efd881775929e63010a","Junta de Vecinos A-14 ""Parque Mons. Escrivá de Balaguer No informado",
"87928a9e11835d1126025e1b7069c0bf","Giuliano Michel Reynuaba Salas",,,,"ah002551","87928a9e11835d1126025e1b7069c0bf","Giuliano Michel Reynuaba Salas",
"925860c5fee1f80d3389c446ed5270e4","Thomas Keller Lippold",,,,"au002511","673bc05183c3244d181e6a4714fb3b40","COLBÚN S.A. No informado",
"925860c5fee1f80d3389c446ed5270e4","Thomas Keller Lippold",,,,"au002511","925860c5fee1f80d3389c446ed5270e4","Thomas Keller Lippold",
"93186bc468c308bd69df6a487b6c5f9f","María Elisa Casitllo Niño",,,,"ar001241","93186bc468c308bd69df6a487b6c5f9f","María Elisa Casitllo Niño",
"99b130da3e8460912af984647c1be3b5","Carmen Schmitt Yoma",,,,"am001211821","99b130da3e8460912af984647c1be3b5","Carmen Schmitt Yoma",
"a53f211b812965ba3a575dbfbde0d83e","Patricio LópezPichipil",,,,"ao001531","7ad34e18527fca46ac5eccb0cc51fafe","Colegio de Cirujano Dentistas de Chile A.G. No informado",
"a7e4740b253e73ec5a32346af0bfa065","Patricio Herman",,,,"am001211821","a7e4740b253e73ec5a32346af0bfa065","Patricio Herman",
"cc0c4eed49d565f853b498627d1dfd34","Jaime AcuñaDAvino",,,,"ao001531","7ad34e18527fca46ac5eccb0cc51fafe","Colegio de Cirujano Dentistas de Chile A.G. No informado",
"e87d04ed9d06d5dd6bc29b1fe0c79f7c","Roberto Celedon Fernandez",,,,"aw0021411","e87d04ed9d06d5dd6bc29b1fe0c79f7c","Roberto Celedon Fernandez",
"fb905a700728e1c487db39035b7ea8f3","Pablo Redondo Schmitt",,,,"am001211821","fb905a700728e1c487db39035b7ea8f3","Pablo Redondo Schmitt",
"012a9068f3c79bfb4b7047bdc51bbaa6","Eugenio Tuma Zedán",,,,"al001471","012a9068f3c79bfb4b7047bdc51bbaa6","Eugenio Tuma Zedán",
"1e944409205012e0a970fe85077eb668","DIEGO SAVINO",,,,"am001811","1e944409205012e0a970fe85077eb668","DIEGO SAVINO",
"1e944409205012e0a970fe85077eb668","DIEGO SAVINO",,,,"am001811","4d2f6fdfacac9f7df9e0397697171ad6","Eduardo Larrabe",
"2035a1a11dafb3c48cb1db915828972e","Ignacio Funes",,,,"aw00281","2035a1a11dafb3c48cb1db915828972e","Ignacio Funes",
"4804a589a745ef5352bd4c3c6628fbd9","ÁngelRaúl CortesBarraza",,,,"ah002551","4804a589a745ef5352bd4c3c6628fbd9","ÁngelRaúl CortesBarraza",
"701aea974a7259a875734b3c42329f20","Juan Eduardo Saldivia",,,,"am001811","4d2f6fdfacac9f7df9e0397697171ad6","Eduardo Larrabe",
"701aea974a7259a875734b3c42329f20","Juan Eduardo Saldivia",,,,"am001811","701aea974a7259a875734b3c42329f20","Juan Eduardo Saldivia",
